correlation,contrast,energy,inv_diff_moment
-0.7038,2.8032,0.28786,-0.73844
-0.11019,1.87025,0.43567,-0.68084
0.38195,0.6275,-0.56214,2.43556
0.31615,0.28873,0.56148,0.53469
1.3518,0.95485,0.58349,-0.2725
0.83762,0.37328,0.34972,1.1477
-0.27805,2.39998,0.82855,-1.11393
1.31376,0.82575,0.6165,0.73458
1.54487,0.36953,0.78364,0.96446
0.02726,0.86931,0.53025,0.09541
0.22994,0.32342,-1.21139,3.02287
-1.03475,0.53094,-1.20246,1.94297
-0.48373,3.35301,-0.31112,-2.5446
0.92587,1.61366,0.3176,-0.54282
-0.60124,0.26075,-0.84854,1.55082
0.24701,1.34111,0.61769,-0.86885
0.66415,0.50453,-0.28764,2.12194
1.27981,0.92883,0.37381,-0.25346
0.76599,0.0345,0.01037,2.52172
1.31234,1.20532,0.60252,-0.33674
0.39896,2.18595,0.51419,0.28102
0.4779,-0.77427,-1.02343,1.53369
0.61468,-0.30406,0.38273,0.93067
1.2027,0.64623,0.5356,1.08868
0.64439,1.54468,0.60074,0.9459
1.27301,1.32869,0.71017,-0.44049
1.04811,0.16457,0.42735,1.98725
0.78886,1.50133,0.69175,0.52089
0.5098,0.87759,0.31701,1.68408
1.12502,0.59597,0.50973,1.12581
1.73149,-0.69071,-0.58742,2.75158
1.02454,0.49546,0.54482,1.11486
-0.27588,0.27435,-0.50177,1.37568
0.56681,-0.78906,-0.99399,1.52559
-0.22869,1.77112,0.49664,-0.90024
1.24361,0.72052,0.85353,0.74601
-0.22763,0.19493,-0.31351,1.16387
0.93654,0.55518,0.31849,1.26859
1.42359,-0.64282,-0.60823,2.91866
-0.10812,1.00568,-0.34295,3.06238
0.87407,-0.27036,0.45828,0.82359
0.20593,-0.31294,0.13319,1.05584
0.54532,0.09067,-0.58535,2.88772
0.13851,0.4458,-1.15846,3.05714
-0.65577,4.25482,-0.32986,-2.52271
0.85482,1.51768,0.33188,0.41
1.05934,-0.31372,-0.50503,2.9058
1.22282,-0.42527,0.1234,2.56312
1.31579,0.59065,0.56564,0.62369
-1.20837,0.44817,-0.63411,2.54741
-0.61983,4.33918,-0.28794,-2.58697
1.13167,1.46112,0.63761,-0.53521
-0.22064,0.99406,-0.87324,3.03287
0.49735,0.58416,0.30779,0.57325
0.91809,0.10447,-0.34948,2.12479
0.71937,-0.02206,0.71493,0.46425
0.8114,0.89019,0.55404,1.51464
-0.15003,2.47821,0.295,-1.71743
1.31533,-0.46941,-0.51396,2.74731
0.53719,0.8021,0.66318,-0.38624
-0.32313,3.13959,0.27686,-1.33239
0.34557,-0.36871,-0.26057,1.11677
0.01928,1.74175,0.44846,-1.22675
0.62383,1.47787,0.34199,-0.46333
0.15649,1.45974,0.56802,-0.93309
-0.18568,0.62494,0.50884,0.32005
-0.41996,0.29051,-0.41195,1.17482
0.10148,0.37426,0.38244,-0.03073
1.19918,-0.0388,0.32682,1.85065
0.11866,-0.14798,-0.02383,1.05821
0.58886,0.68464,0.3289,1.78496
0.25874,1.26364,0.6394,-0.23441
-0.47511,4.01695,0.11537,-2.53508
1.25122,-0.11192,0.14688,2.08433
1.20688,1.32416,0.49307,-0.49096
-0.84152,0.43516,-1.32977,2.07435
1.61573,-0.59119,-0.5333,2.94626
0.54566,0.69412,-0.27068,2.11812
0.53157,1.33559,0.16889,0.63178
-0.21075,0.56562,-1.55609,3.21563
0.52552,0.13876,0.502,0.56039
1.16909,0.10507,0.46125,2.03865
0.48616,0.88311,0.36638,1.46181
0.23905,0.31159,0.46363,0.33433
1.34454,0.57685,0.50081,1.23432
-0.36933,2.78624,0.63583,-1.47945
0.28603,1.20118,0.42199,-0.77841
0.35966,0.38806,0.53977,-0.09687
0.4499,0.47181,-0.46131,2.21999
0.44762,0.72623,0.72209,-0.36243
0.48413,2.27031,0.56921,0.20344
0.48315,0.66178,0.61382,0.18155
0.38096,-0.44378,-0.99726,2.78397
0.46396,0.89748,0.7423,-0.6285
1.63045,-0.25479,0.28875,1.62173
0.22204,-0.43373,-0.38488,1.18768
-0.00469,0.88053,-0.80274,3.14281
-0.30928,3.02963,0.39076,-1.22578
0.22902,-0.46094,-1.31578,2.61025
0.67772,-0.63751,-0.47946,1.30999
1.73993,-0.14405,0.39701,1.69312
0.49973,0.40264,0.49069,0.37716
1.35213,-0.49443,-0.55202,2.75349
1.52246,-0.5845,-0.58535,2.71304
1.16192,0.45762,0.39463,1.19623
1.67592,-0.60499,-0.51485,2.79443
0.36257,-0.44201,-1.15637,2.53076
0.78603,1.07132,0.43002,1.16578
-0.13453,0.79916,0.31106,0.30958
0.86581,-0.39983,-0.02056,2.54028
0.40841,0.31514,-0.04167,2.54741
0.57213,-0.00076,0.49307,0.4495
0.54124,0.69568,0.28072,0.40429
1.35748,-0.48537,-0.55145,2.92293
1.01865,1.87163,0.41069,-0.6975
-0.05097,2.55666,0.3863,-1.74455
1.36344,-0.03052,0.21202,2.07911
1.20725,0.81078,0.71792,0.66558
0.80072,1.07801,0.43538,1.07916
-0.12238,0.24971,0.1231,1.25336
-0.29681,0.95917,0.58854,0.28768
-0.15253,0.20636,0.06955,0.78456
0.16155,-0.18483,0.11654,0.91591
1.33757,0.61489,0.68193,0.4633
1.30314,-0.14936,0.18377,1.88253
-0.18614,1.30583,0.58884,0.16728
-0.10382,2.13353,0.55107,-1.20722
1.47168,-0.56025,-0.60764,2.75112
0.87016,1.01929,0.51895,0.83881
-0.05343,-0.03586,-0.48511,1.2581
1.0347,1.37402,0.44906,-0.55614
-0.09952,0.42806,-1.38062,3.16138
-0.60241,4.01086,0.02346,-2.56553
0.79753,0.11926,0.09127,2.42225
1.36935,-0.28515,0.27269,2.41606
-0.7782,0.42018,-0.62461,2.25996
1.62339,0.43792,0.673,0.44188
-0.06734,0.26233,0.11923,0.70364
0.38305,0.32125,0.39642,0.54897
0.65465,-0.54666,-0.03572,1.26001
-0.6218,4.391,-0.33046,-2.64645
0.52401,0.15769,-0.51366,2.76159
0.85438,0.46984,-0.06219,1.79973
0.07933,0.89631,0.50675,0.08064
1.31696,0.75994,0.61769,0.98539
0.28588,0.51714,0.07551,2.09528
-0.27223,2.43032,-0.07617,-1.96491
-0.40673,0.4529,-0.15141,0.84596
-0.03977,0.69688,0.32474,0.45759
0.30636,2.03973,0.3173,0.09541
0.67491,1.62272,0.30987,0.72887
0.54124,0.69568,0.28072,0.4043
-0.34389,0.45152,-0.14041,0.82453
0.67289,1.6647,0.27894,0.6018
0.12186,0.9111,-0.87887,2.75683
0.86016,2.39092,0.08117,-0.76652
0.03312,0.01205,-0.40986,1.18243
-0.59915,3.16207,0.07551,-1.36714
0.4534,0.29228,0.41129,0.57134
1.5566,-0.17478,0.11507,2.33087
1.52437,-0.26878,0.07135,2.27567
1.0669,0.22744,0.52133,2.00105
0.07937,1.33598,0.53679,-0.01835
1.31082,-0.5313,-0.61716,2.76729
0.27918,0.0822,0.15134,0.736
-0.0885,0.1693,0.21172,0.43855
-0.01743,0.02721,-0.01283,2.22378
0.03827,2.28744,0.54988,0.59609
0.54812,-0.0989,0.4324,0.63987
1.0359,0.27474,0.50616,2.0315
-0.41828,2.83038,0.29738,-1.09395
1.0129,0.42511,0.04754,1.74214
-0.56173,0.44639,-0.86551,1.85208
1.2185,0.25503,0.30213,1.97915
1.49362,0.34785,0.69472,0.88736
0.62672,0.84153,0.33515,1.7569
0.68165,-0.06304,0.20221,2.33848
-0.49169,0.35554,-0.07647,1.34663
-1.04737,0.41328,-1.15041,2.5455
1.22323,0.22173,0.52014,1.95298
0.04734,0.99563,-0.26533,2.90389
-0.26017,2.65636,0.2715,-1.76835
0.43715,0.18409,0.50854,0.49995
0.04483,1.74451,0.48266,-1.10966
0.18615,1.6986,0.64743,-1.06586
1.33292,-0.49542,-0.52674,2.74397
1.19412,-0.17024,0.2031,1.65313
0.63175,0.91917,0.38125,1.70168
0.26976,0.83483,0.54839,-0.51046
-0.06746,1.0181,-0.70251,2.89913
1.60674,0.12163,0.64297,1.21767
1.51577,0.34943,0.76728,0.92352
0.02576,0.77432,0.57367,-0.0707
-0.07783,0.85827,0.72119,0.39715
1.23407,0.64504,0.73218,0.74173
-0.20787,0.55182,0.42407,0.38763
0.8991,0.513,-0.10115,1.99201
1.31802,1.07309,0.41456,-0.45763
0.78835,0.20852,-0.40809,2.21808
0.60446,-0.42506,0.0889,1.211
1.4856,1.21261,0.74973,-0.36958
1.28669,-0.52065,-0.63947,2.74351
0.14996,0.09778,0.09246,0.83453
0.34133,-0.26878,0.25782,0.97969
0.97412,0.45605,0.39701,1.09202
1.02451,0.57784,0.06748,1.7112
0.96228,1.10718,0.57486,0.78313
0.36257,-0.44201,-1.15637,2.53076
-0.76737,0.3985,-1.08974,1.93918
0.46967,-0.74906,-1.05883,1.56223
0.88373,1.60874,0.34258,0.18155
0.05976,1.73406,0.61085,-1.08015
-0.01743,0.02721,-0.01283,2.22378
-0.48592,0.34056,-0.09223,1.33902
0.63608,-0.50292,0.01633,1.1972
1.56426,-0.26563,0.11537,2.38749
1.5879,-0.37009,0.0541,2.378
0.04816,0.24617,0.21708,0.65463
1.54273,0.58789,0.68818,0.56848
1.56987,0.52601,0.66438,0.28816
0.83927,0.35515,-0.27158,2.19855
0.64311,0.02544,-0.06875,2.35467
-0.61992,0.3382,-1.14834,2.10528
0.04198,2.57301,0.42883,-1.79404
-0.15589,0.621,-1.34761,3.33795
-0.27508,0.53113,0.3176,0.94924
0.12425,0.28913,0.36162,0.01497
1.36547,-0.15962,0.13172,2.08339
1.53357,0.40993,0.78722,0.77788
1.31303,-0.05359,0.39493,1.79688
0.67583,0.76664,0.5701,1.88207
0.32975,-0.37324,-0.32214,1.14437
-1.06768,0.41525,-1.16589,2.60215
0.47891,0.33761,0.13796,2.05054
-0.20293,3.32385,-0.02889,-2.53699
0.29312,-0.00648,-0.11008,1.06964
-0.41335,0.94951,0.30481,0.51566
1.32986,0.67894,0.79852,0.61798
-0.37391,0.23316,-0.70936,1.5275
0.36018,0.8435,-0.48362,2.25757
0.58419,1.08077,0.39433,1.10676
-0.41342,3.44092,-0.18057,-2.56411
1.22866,0.70693,0.79079,0.71079
0.9051,2.26911,0.33098,-1.0083
1.06083,0.24084,0.27507,1.87015
0.87968,1.37993,0.61799,0.69603
0.02643,2.22537,0.63256,-1.23531
1.31413,0.40461,0.69322,0.83644
0.01865,0.18152,0.28786,0.40762
-0.23188,1.77919,0.51568,-0.90406
1.38653,0.56326,0.6278,0.68556
1.10021,-0.10304,0.25693,1.7469
-1.1399,0.56602,-1.3354,2.01722
0.03639,1.48122,0.44906,-1.04921
0.24424,1.75338,0.55345,-1.14441
0.01753,-0.11507,-0.09549,1.17102
0.07818,-0.04315,-0.38102,1.16721
0.01295,1.61564,0.47791,-0.97545
0.71827,-0.67141,-0.1877,1.36043
1.3427,0.93454,0.64743,-0.15541
1.25334,0.53862,0.48772,1.39946
1.07629,0.9367,0.83925,0.57277
0.94277,1.13517,0.39017,-0.19444
0.75677,-0.29343,0.38184,0.86071
0.05184,2.27502,0.16146,-1.86258
1.27112,0.63046,0.64177,0.59276
1.01122,-0.44693,0.10941,2.25186
0.616,-0.22188,-0.03512,2.19855
0.52948,1.12058,0.18347,-0.34056
0.38081,0.19118,0.54304,0.14538
1.32354,0.58474,0.6403,0.64844
0.08959,2.14379,0.59033,0.77027
0.54124,0.69568,0.28072,0.4043
0.21882,0.42235,0.35686,0.41904
0.76682,-0.72029,-0.45211,1.2843
0.3829,2.2569,0.40355,0.04685
1.18439,1.2595,0.14718,-0.78269
-0.06523,0.17876,0.21916,0.44902
-0.36724,4.5333,-0.05743,-2.75781
-0.19458,0.82299,0.63375,0.4514
1.72912,-0.10975,0.42735,1.62458
-0.57744,0.58769,0.18049,1.17864
-0.17995,1.79281,0.4208,-0.92168
0.07484,0.81078,-0.76854,2.50792
1.26838,1.18227,0.40861,-0.48332
0.20344,0.91621,0.52668,-0.62183
0.21142,-0.13577,0.15937,0.855
0.87117,2.28036,0.35478,-1.16867
1.47948,-0.03682,0.32385,2.16573
1.39339,0.90163,0.62721,-0.20014
0.00561,-0.17243,-0.10382,1.04013
1.06946,-0.32713,-0.30519,2.71018
-0.12408,2.53359,0.2263,-1.73599
0.42196,-0.06244,-0.31468,2.03198
-0.41646,0.5739,0.33336,0.46283
1.46832,-0.07841,0.45441,1.70407
-0.35953,1.01554,0.53352,0.29387
1.37662,0.63105,0.63375,0.46235
0.48572,1.46151,0.18258,-0.6147
1.08848,0.71953,0.40147,0.92734
0.35309,-0.15803,0.22481,0.85546
-0.07213,1.93232,0.33247,-1.22436
1.5201,0.78653,0.68312,0.59466
1.5132,-0.04924,0.3295,2.01676
0.43688,-0.61072,-0.59604,1.26905
1.40047,-0.22995,0.08027,2.29756
0.44547,0.02307,0.54691,0.43713
0.41397,0.73175,-0.50236,2.40939
1.37432,1.0043,0.46006,-0.3415
-0.57576,1.13202,0.19923,2.37038
0.42521,-0.26622,0.26704,0.98302
0.62788,2.06377,0.25455,0.27864
0.18938,1.55671,0.48564,-1.13394
0.31581,0.42393,0.38957,0.3743
0.61609,0.08397,-0.51752,2.83583
-0.01674,2.19857,0.18525,-1.79881
0.20912,0.36362,0.53828,0.40238
0.00614,1.12176,-0.71649,3.15756
0.85795,2.37121,-0.01936,-0.68797
-0.13733,0.66928,0.44697,0.07875
-1.20968,0.46965,-0.66714,2.526
0.67386,0.8559,0.31017,1.23766
0.31603,-0.27096,-0.20852,1.12247
0.07356,0.97021,0.5246,0.04876
1.16203,1.25833,0.34139,-0.58852
0.23337,-0.38132,-0.37835,1.20575
0.62524,0.02289,0.02822,2.45367
0.36257,-0.44201,-1.15637,2.53076
0.78734,0.73117,0.32622,1.22622
1.76199,-0.24651,0.27002,1.77641
-0.16693,0.75224,0.68759,0.35765
-0.00506,1.95144,0.67866,-1.15724
1.15527,1.62449,0.50497,-0.44289
1.58597,0.55458,0.66735,0.2953
1.60628,0.45132,0.68133,0.4852
1.14717,-0.25776,0.23016,2.40845
0.88072,0.9105,0.39076,0.8769
-0.2861,0.56779,0.39731,0.39572
0.74529,1.37106,0.54601,0.39048
0.61794,-0.6247,-0.4402,1.18528
0.08167,0.50571,-1.19949,3.14233
-0.15474,2.44826,0.20994,-1.66936
0.03018,2.50581,0.69472,-1.54466
0.54188,0.20084,-0.02056,2.52457
-0.20157,0.72388,0.44787,0.04067
0.60968,0.06702,-0.51189,2.76587
0.29665,-0.01219,-0.24182,1.11392
-0.4767,0.32165,-0.47798,1.22004
-0.4479,3.39579,-0.20732,-2.57363
0.67855,-0.06994,0.22451,2.51602
1.28462,0.89394,0.64563,0.59752
0.42438,-0.40574,-0.20495,1.08392
-0.25746,3.13131,0.21618,-1.35095
0.35628,-0.29539,-0.22903,1.15532
0.8738,1.59926,0.65755,0.35193
0.52948,1.12058,0.18347,-0.34056
1.4761,1.02578,0.68876,-0.282
0.32656,-0.0319,-0.35664,2.31659
0.48572,1.46151,0.18258,-0.6147
1.00059,0.55123,0.31641,1.21813
1.2064,1.22482,0.44549,-0.61327
0.19905,0.68149,-0.79205,2.70733
1.18227,1.79554,0.45203,-0.58043
0.96009,-0.73742,-0.2567,1.458
0.47919,0.00653,0.52252,0.44998
-0.29838,1.0319,0.35537,0.54992
0.30083,0.86772,0.58289,-0.59041
-0.17296,1.18285,0.41039,0.232
-1.10278,0.60661,-1.32291,1.97439
0.52687,-0.04549,0.54274,0.51994
0.41575,-0.60952,-0.57107,1.19195
-0.72763,0.60031,0.06599,1.23147
1.06603,-0.45503,-0.35753,2.48221
0.90034,0.9982,0.39582,-0.05927
0.92971,1.49916,0.34615,0.40238
1.41846,1.18423,0.40326,-0.71226
0.99836,0.8358,0.50259,1.01301
1.43463,0.6472,0.63286,0.98445
0.5518,-0.67733,-0.6008,1.30571
1.21466,0.46216,0.37203,1.1377
1.11454,1.59002,0.60014,-0.35625
-0.31273,4.01578,0.25782,-2.5884
-0.25677,1.00903,0.72685,0.27102
-1.01607,0.4121,-0.44169,2.40654
-0.30594,2.88025,0.17604,-1.16343
1.2691,-0.48774,-0.3602,2.61595
-0.59434,0.54158,-0.84736,1.80592
0.3557,0.90006,-0.59724,2.55408
-0.3674,0.99248,0.57516,0.24723
-0.4114,3.83426,0.30184,-2.46321
-0.45257,4.45644,-0.22873,-2.68548
0.70898,0.87246,0.36638,1.00253
1.25139,0.01539,0.35537,1.71787
-0.94281,0.53783,-0.26057,2.17143
-0.46867,4.31041,-0.1202,-2.59267
-0.28,2.61262,0.24206,-1.69602
-0.21291,2.1428,0.54572,-1.16012
0.99892,-0.416,0.09812,2.54171
0.60949,0.7956,0.37143,1.68979
0.67029,1.19152,0.60401,1.32188
1.08236,0.38431,0.27507,1.80067
1.1218,-0.25716,0.18763,2.41845
0.18802,0.80802,-0.70847,2.57455
1.67371,0.41959,0.85353,0.76599
1.24465,0.78437,0.58854,0.59704
1.28961,0.97435,0.52966,-0.30486
-0.31142,1.01318,0.39523,0.50709
1.69993,-0.69407,-0.59128,2.77921
1.20734,1.39629,0.76461,-0.52665
1.43769,0.63026,0.60103,0.93686
-0.1187,1.7049,0.62096,-0.79221
0.85523,0.40461,-0.10948,2.28804
-0.14161,1.08767,-0.92142,3.30938
-0.40326,0.56109,0.34199,0.47996
-0.33147,0.48423,0.21202,1.0525
-0.30268,2.47349,-0.12882,-1.99585
-0.75097,2.99612,0.32028,-0.92453
-0.02967,1.69938,0.52163,-1.00687
0.32714,0.89454,0.62691,-0.61327
-0.45418,2.77974,0.49754,-1.49707
0.24959,0.33071,0.38154,0.00354
-0.27731,0.51359,0.42586,0.48186
0.34213,0.28873,-0.06815,2.49125
1.61561,-0.537,-0.57433,2.83392
1.46062,-0.07427,0.4782,1.14437
0.35293,1.53856,0.44549,0.36907
0.69168,-0.09911,0.22451,2.42892
1.36517,1.06856,0.40593,-0.49523
0.17733,0.20163,0.41069,0.36621
0.17742,0.14173,0.03774,1.09963
1.05881,0.22173,-0.02203,2.09148
0.64653,0.0952,-0.00062,2.65641
0.32487,1.50823,0.76581,-0.86742
1.29283,-0.0601,0.40236,1.83257
-0.72728,0.65449,0.07788,1.16911
0.43835,0.19493,-0.14964,2.4765
0.96028,-0.2883,-0.23915,2.66354
0.41222,-0.60361,-0.60437,1.22908
1.25415,0.60582,0.48058,1.09867
1.36993,0.08239,0.54899,1.17673
-0.50848,0.53586,-0.72572,1.75166
0.49657,0.59065,0.58141,0.22058
0.11578,0.30056,0.0886,0.90165
0.54099,0.77234,-0.33136,2.16476
0.98705,0.40323,0.5133,1.98343
0.47314,-0.34585,-0.7043,2.53028
-0.4859,0.338,-0.46846,1.28761
1.19087,0.90222,0.88983,0.67413
-0.24014,2.49596,0.18406,-1.66936
-0.49096,0.59144,0.23016,1.023
1.22648,-0.34426,0.13379,2.3918
-0.0143,0.4726,0.16326,0.69842
0.12094,1.07051,0.5127,0.07114
1.36158,0.66139,0.83035,0.52327
0.81066,2.29927,-0.06516,-0.69607
1.73027,0.49743,0.72655,0.30815
0.41072,0.82299,0.62096,-0.5114
-0.0129,1.70964,0.455,-1.03923
1.56492,-0.29185,0.01543,2.26757
1.08075,-0.35905,-0.53806,2.90104
1.23759,0.11019,0.45887,2.05006
0.02677,0.73747,0.41575,0.34099
0.67294,1.69287,0.26377,-0.4505
1.39376,0.52167,0.49307,0.98396
0.344,-0.41264,-0.32361,1.14103
0.03795,0.32835,0.2721,0.6613
0.25818,1.28533,0.68223,-0.33198
0.9672,1.77781,0.45947,-0.6423
0.08867,0.08968,-0.0488,1.17339
